clf,mean_test_score,std_test_score,clf__n_neighbors
KNeighborsClassifier,0.5854072956018457,0.08095110867640991,5
KNeighborsClassifier,0.58081744789792,0.08320599509874009,7
KNeighborsClassifier,0.5876880909143098,0.08272400485149374,9
KNeighborsClassifier,0.6006479605087977,0.07083784092424501,11
KNeighborsClassifier,0.6086734348341106,0.06959612114313835,13
KNeighborsClassifier,0.6041877388175465,0.07757190653211637,15
KNeighborsClassifier,0.6000441843606391,0.07519603261848931,17
KNeighborsClassifier,0.6023599746357655,0.07127839308675873,19
KNeighborsClassifier,0.5952071733460407,0.06902821284277293,21
KNeighborsClassifier,0.6025327027472354,0.06718830311446458,23
KNeighborsClassifier,0.6090060116264211,0.06917449875400061,25
