clf,mean_test_score,std_test_score,clf__max_depth,clf__n_estimators
RandomForestClassifier,0.5918639346705137,0.06250350173386596,3.0,50
RandomForestClassifier,0.59235609500414,0.06497909633048414,3.0,100
RandomForestClassifier,0.5941338603497258,0.06793786638387067,3.0,200
RandomForestClassifier,0.5933574564393194,0.06692885365053344,3.0,500
RandomForestClassifier,0.5929535781010116,0.06977402419986486,3.0,1000
RandomForestClassifier,0.5959174714553049,0.06627124127900896,4.0,50
RandomForestClassifier,0.5949853206559771,0.06537658369383073,4.0,100
RandomForestClassifier,0.5976080428678467,0.06739177379091078,4.0,200
RandomForestClassifier,0.5988967711434453,0.06719549816550802,4.0,500
RandomForestClassifier,0.5977195477651222,0.06930895797170973,4.0,1000
RandomForestClassifier,0.599948346530499,0.06701968364397383,5.0,50
RandomForestClassifier,0.6013531333375876,0.0640742300449197,5.0,100
RandomForestClassifier,0.6023233699325173,0.0643712838986583,5.0,200
RandomForestClassifier,0.6015015610306758,0.06823263782488266,5.0,500
RandomForestClassifier,0.6019367184056108,0.06847363051633039,5.0,1000
RandomForestClassifier,0.6065240107428937,0.06836411346844373,6.0,50
RandomForestClassifier,0.6096660425483968,0.07016572718646154,6.0,100
RandomForestClassifier,0.6106033397443474,0.06785774995312854,6.0,200
RandomForestClassifier,0.6108655222335705,0.06885830311978013,6.0,500
RandomForestClassifier,0.6117110671660534,0.06824816894405486,6.0,1000
RandomForestClassifier,0.6057429557335878,0.0674108006759472,7.0,50
RandomForestClassifier,0.6112245277859607,0.06718553247059818,7.0,100
RandomForestClassifier,0.6142369760142828,0.06976457108349221,7.0,200
RandomForestClassifier,0.6126810464045144,0.06895569791072642,7.0,500
RandomForestClassifier,0.6111906877009071,0.06747330207028795,7.0,1000
RandomForestClassifier,0.6094078920643577,0.07548234414661699,8.0,50
RandomForestClassifier,0.609700108047935,0.0763790745031118,8.0,100
RandomForestClassifier,0.6115734007513912,0.07465387672648523,8.0,200
RandomForestClassifier,0.6120986344321804,0.07390829251241171,8.0,500
RandomForestClassifier,0.6096057129302174,0.07355939738273601,8.0,1000
RandomForestClassifier,0.6151458459262491,0.08123043226309387,9.0,50
RandomForestClassifier,0.6206231219646967,0.07887533756229348,9.0,100
RandomForestClassifier,0.6197169124428369,0.0798567040786882,9.0,200
RandomForestClassifier,0.6223292305384011,0.08146384747322918,9.0,500
RandomForestClassifier,0.6201756840457278,0.08109651808367745,9.0,1000
RandomForestClassifier,0.6056397958010189,0.09209967999974214,,50
RandomForestClassifier,0.6073084069090776,0.09012051602619084,,100
RandomForestClassifier,0.6076749690795383,0.09004109461279229,,200
RandomForestClassifier,0.6067748822178057,0.08977362607215343,,500
RandomForestClassifier,0.6058817829087983,0.09099426316429148,,1000
